predicate,edge_sab,edge_count
has_component,LNC,318006
component_of,LNC,318006
located_in,GENCODE,313087
location_of,GENCODE,313087
is_feature_type,GENCODE,312946
inverse_is_feature_type,GENCODE,312946
is_directional_form_of,GENCODE,312867
inverse_is_directional_form_of,GENCODE,312867
above_10kbp_band,HSCLO,308837
inverse_above_10kbp_band,HSCLO,308837
precedes_10kbp_band,HSCLO,308814
inverse_precedes_10kbp_band,HSCLO,308814
inverse_ds_3_prime,GENCODEHSCLO,295494
inverse_us_5_prime,GENCODEHSCLO,295494
ds_3_prime,GENCODEHSCLO,295494
us_5_prime,GENCODEHSCLO,295494
chd,LNC,289595
par,LNC,289595
inverse_isa,CHEBI,284632
isa,CHEBI,284632
class_of,LNC,282551
has_class,LNC,282551
AB,,268331
PN,,260313
transcribed_from,GENCODE,251060
transcribed_to,GENCODE,251060
inverse_involved_in,UNIPROTKB,243667
involved_in,UNIPROTKB,243667
is_gene_biotype,GENCODE,241650
inverse_is_gene_biotype,GENCODE,241650
isa,RXNORM,236363
inverse_isa,RXNORM,236363
participates_in,REACTOME,235963
has_participant,REACTOME,235963
isa,NCI,225710
inverse_isa,NCI,225710
inverse_involved_in,MPMGI,219492
involved_in,MPMGI,219492
inverse_loop_has_qvalue_bin,4DN,215822
inverse_loop_ds_end,4DN,215822
inverse_loop_us_end,4DN,215822
inverse_loop_ds_start,4DN,215822
loop_has_qvalue_bin,4DN,215822
loop_us_end,4DN,215822
loop_ds_start,4DN,215822
loop_ds_end,4DN,215822
inverse_file_has_loop,4DN,215821
file_has_loop,4DN,215821
inverse_loop_us_start,4DN,215818
loop_us_start,4DN,215818
ET,,212080
inverse_synthesized_by,GLYCANS,210563
synthesized_by,GLYCANS,210563
rn,MTH,200256
rb,MTH,200256
chd,ICD10PCS,192559
par,ICD10PCS,192559
inverse_has_best_classification,BIOMARKER,183705
has_best_classification,BIOMARKER,183705
inverse_indicated_by_presence_of,BIOMARKER,180536
indicated_by_presence_of,BIOMARKER,180536
inverse_has_variant_associated_with_disease,OTG,180233
has_variant_associated_with_disease,OTG,180233
is_transcript_biotype,GENCODE,177576
inverse_is_transcript_biotype,GENCODE,177576
system_of,LNC,176324
has_system,LNC,176324
has_ingredient,RXNORM,157094
ingredient_of,RXNORM,157094
negatively_regulates,ERCCREG,156836
negatively_regulated_by,ERCCREG,156836
positively_regulates,ERCCREG,154093
positively_regulated_by,ERCCREG,154093
has_part,UNIPROTKB,145253
part_of,UNIPROTKB,145253
has_manifestation,OMIM,141981
manifestation_of,OMIM,141981
has_refseq_id,GENCODE,140164
inverse_has_refseq_id,GENCODE,140164
PM,,132119
mapped_to,SNOMEDCT_US,123051
mapped_from,SNOMEDCT_US,123051
DP,,120871
is_evidence_for,PROTEOFORM,120158
has_evidence,PROTEOFORM,120158
finding_site_of,MEDCIN,119418
has_finding_site,MEDCIN,119418
inverse_has_glycosequence,GLYCANS,117146
has_glycosequence,GLYCANS,117146
tradename_of,RXNORM,116933
has_tradename,RXNORM,116933
consists_of,RXNORM,115230
constitutes,RXNORM,115230
LPDN,,114224
HX,,113341
negatively_regulates,LINCS,112759
negatively_regulated_by,LINCS,112759
positively_regulates,LINCS,112747
positively_regulated_by,LINCS,112747
answer_to,LNC,110579
has_answer,LNC,110579
time_aspect_of,LNC,108448
has_time_aspect,LNC,108448
property_of,LNC,108215
has_property,LNC,108215
scale_of,LNC,108212
has_scale,LNC,108212
has_finding_site,SNOMEDCT_US,106129
finding_site_of,SNOMEDCT_US,106129
inverse_has_marker_gene,MSIGDB,104682
has_marker_gene,MSIGDB,104682
isa,FMA,103643
inverse_isa,FMA,103643
LC,,103291
LN,,103291
MTH_LN,,102558
enabled_by,UNIPROTKB,101037
enables,UNIPROTKB,101037
rb,MSH,99834
rn,MSH,99834
laterality_of,MEDCIN,98426
has_laterality,MEDCIN,98426
chd,ICD10CM,96027
par,ICD10CM,96027
measures,LNC,94538
measured_by,LNC,94538
dose_form_of,RXNORM,94502
has_dose_form,RXNORM,94502
ACR,,91275
has_ingredient,MMSL,91120
ingredient_of,MMSL,91120
OSN,,90479
inverse_indicates_risk_of_developing,BIOMARKER,86521
indicates_risk_of_developing,BIOMARKER,86521
classified_as,CCSR_ICD10CM,86131
classifies,CCSR_ICD10CM,86131
analyzed_by,LNC,86070
analyzes,LNC,86070
inverse_has_canonical_residue,GLYCANS,86033
has_canonical_residue,GLYCANS,86033
active_ingredient_of,MTHSPL,83382
has_active_ingredient,MTHSPL,83382
active_moiety_of,MTHSPL,83067
has_active_moiety,MTHSPL,83067
PX,,80574
LLT,,80448
method_of,LNC,80001
has_method,LNC,80001
mapped_from,ICPC2ICD10ENG,79354
mapped_to,ICPC2ICD10ENG,79354
classifies,CCSR_ICD10PCS,78908
classified_as,CCSR_ICD10PCS,78908
PCE,,77564
inverse_isa,EFO,77203
isa,EFO,77203
default_inpatient_classification_of,CCSR_ICD10CM,74433
has_default_inpatient_classification,CCSR_ICD10CM,74433
has_default_outpatient_classification,CCSR_ICD10CM,74429
default_outpatient_classification_of,CCSR_ICD10CM,74429
associated_morphology_of,SNOMEDCT_US,73675
has_associated_morphology,SNOMEDCT_US,73675
LPN,,72473
isa,GO,71522
inverse_isa,GO,71522
is_abnormal_cell_of_disease,NCI,68881
disease_has_abnormal_cell,NCI,68881
IN,,68741
possibly_equivalent_to,SNOMEDCT_US,67946
inverse_in_1_to_1_orthology_relationship_with,HCOP,67934
in_1_to_1_orthology_relationship_with,HCOP,67934
BD,,66445
produces,MW,66246
produced_by,MW,66246
method_of,SNOMEDCT_US,64881
has_method,SNOMEDCT_US,64881
DN,,64309
has_member,MDR,63823
member_of,MDR,63823
located_in,ERCCREG,63051
location_of,ERCCREG,63051
isa,UWDA,62117
inverse_isa,UWDA,62117
has_ingredient,VANDF,61789
ingredient_of,VANDF,61789
inverse_gene_associated_with_disease_or_phenotype,CLINVAR,61672
gene_associated_with_disease_or_phenotype,CLINVAR,61672
inverse_sequence,PROTEOFORM,61353
inverse_has_pro_entry,PROTEOFORM,61353
has_pro_entry,PROTEOFORM,61353
sequence,PROTEOFORM,61353
is_finding_of_disease,NCI,59292
disease_has_finding,NCI,59292
inverse_isa,MP,57330
isa,MP,57330
CD,,55925
has_member,LNC,55020
member_of,LNC,55020
disease_has_associated_anatomic_site,NCI,52861
is_associated_anatomic_site_of,NCI,52861
PT_PROTEOFORM,,52450
inverse_has_amino_acid,PROTEOFORM,52450
inverse_location,PROTEOFORM,52450
inverse_glycosylated_at,PROTEOFORM,52450
has_amino_acid,PROTEOFORM,52450
location,PROTEOFORM,52450
glycosylated_at,PROTEOFORM,52450
gene_plays_role_in_process,NCI,51266
process_involves_gene,NCI,51266
CN,,49538
ro,UMD,49378
associated_with,MEDCIN,48584
PTCS,,47567
role_of,CHEBI,45181
has_role,CHEBI,45181
inverse_has_saccharide,PROTEOFORM,44763
has_saccharide,PROTEOFORM,44763
has_phenotype,KF,44611
phenotype_of,KF,44611
SYN,,44389
MTH_ACR,,44067
par,OMIM,43832
chd,OMIM,43832
has_associated_morphology,MEDCIN,43407
associated_morphology_of,MEDCIN,43407
has_loinc_number,LNC,43327
loinc_number_of,LNC,43327
do_not_code_with,CPT,43196
par,MSH,42746
chd,MSH,42746
inverse_isa,MONDO_SIMPLE,42705
isa,MONDO_SIMPLE,42705
inverse_has_human_ortholog,RATHCOP,42370
has_human_ortholog,RATHCOP,42370
HT,,42274
interprets,SNOMEDCT_US,40966
is_interpreted_by,SNOMEDCT_US,40966
par,MDR,40791
chd,MDR,40791
isa,SNOMEDCT_VET,38977
inverse_isa,SNOMEDCT_VET,38977
has_finding_method,MEDCIN,38589
finding_method_of,MEDCIN,38589
has_part,REACTOME,38573
part_of,REACTOME,38573
ETAL,,37436
has_phenotype,OMIM,36582
phenotype_of,OMIM,36582
dose_form_of,NDDF,36546
has_dose_form,NDDF,36546
disease_has_primary_anatomic_site,NCI,36530
is_primary_anatomic_site_of_disease,NCI,36530
classified_as,MDR,36422
classifies,MDR,36422
doseformgroup_of,RXNORM,36308
has_doseformgroup,RXNORM,36308
BN,,36002
has_direct_procedure_site,SNOMEDCT_US,35957
direct_procedure_site_of,SNOMEDCT_US,35957
PTAV,,35553
has_allelic_variant,OMIM,35467
allelic_variant_of,OMIM,35467
is_not_finding_of_disease,NCI,34202
disease_excludes_finding,NCI,34202
NP,,34142
PT_GLYCANS,,33885
mapping_qualifier_of,MSH,33879
has_mapping_qualifier,MSH,33879
isa,VANDF,31214
inverse_isa,VANDF,31214
same_as,MEDCIN,31148
MH,,31110
inverse_is_from_source,GLYCANS,30986
is_from_source,GLYCANS,30986
above_100kbp_band,HSCLO,30891
inverse_above_100kbp_band,HSCLO,30891
precedes_100kbp_band,HSCLO,30870
inverse_precedes_100kbp_band,HSCLO,30870
PEP,,30684
inverse_causally_related_to,REACTOME,30581
causally_related_to,REACTOME,30581
ETCLIN,,30187
ro,MSH,29986
disease_excludes_abnormal_cell,NCI,29265
is_not_abnormal_cell_of_disease,NCI,29265
inverse_in_taxon,REACTOME,29197
inverse_isa,REACTOME,29197
in_taxon,REACTOME,29197
isa,REACTOME,29197
biological_process_involves_gene_product,NCI,28689
gene_product_plays_role_in_biological_process,NCI,28689
PSN,,27748
regional_part_of,FMA,27638
has_regional_part,FMA,27638
PT_MONDO_SIMPLE,,27444
rq,MTHICD9,26946
clinician_form_of,CPT,26774
has_clinician_form,CPT,26774
has_direct_procedure_site,MEDCIN,26700
direct_procedure_site_of,MEDCIN,26700
PT_EFO,,26591
disease_has_normal_tissue_origin,NCI,26363
is_normal_tissue_origin_of_disease,NCI,26363
suffix_of,LNC,26033
has_suffix,LNC,26033
is_normal_cell_origin_of_disease,NCI,25744
disease_has_normal_cell_origin,NCI,25744
laterality_of,SNOMEDCT_US,25555
has_laterality,SNOMEDCT_US,25555
isa,ORDO,24605
inverse_isa,ORDO,24605
SU,,23846
specialty_of,CPT,23793
has_specialty,CPT,23793
gene_encodes_gene_product,NCI,23742
gene_product_encoded_by_gene,NCI,23742
isa,HP,23525
inverse_isa,HP,23525
supersystem_of,LNC,23524
has_supersystem,LNC,23524
par,ICD10AM,23492
chd,ICD10AM,23492
rq,ICD10CM,23392
pathological_process_of,SNOMEDCT_US,23228
has_pathological_process,SNOMEDCT_US,23228
inverse_chr_band_contains_gene,MSIGDB,22859
chr_band_contains_gene,MSIGDB,22859
N1,,22584
inverse_isa,UBERON_BASE,22485
isa,UBERON_BASE,22485
PT_HCOP,,22245
precedes,REACTOME,22217
preceded_by,REACTOME,22217
classified_as,CCS,22207
classifies,CCS,22207
CCN,,22140
correlated_in,ERCCRBP,22092
inverse_correlated_in,ERCCRBP,22092
constitutional_part_of,FMA,21429
has_constitutional_part,FMA,21429
parent_of,MED-RT,21228
has_parent,MED-RT,21228
moved_from,SNOMEDCT_US,21166
moved_to,SNOMEDCT_US,21166
par,ICD9CM,21068
chd,ICD9CM,21068
PTGB,,20725
disease_may_have_finding,NCI,20544
may_be_finding_of_disease,NCI,20544
LA,,20239
has_gene_product,UNIPROTKB,20208
gene_product_of,UNIPROTKB,20208
inverse_has_functional_parent,CHEBI,20135
has_functional_parent,CHEBI,20135
SCD,,19772
cause_of,SNOMEDCT_US,19661
due_to,SNOMEDCT_US,19661
part_of,UWDA,19374
has_part,UWDA,19374
inverse_has_motif,GLYCANS,19321
has_motif,GLYCANS,19321
CDA,,19131
CDC,,19131
CDD,,19131
inverse_isa,ORPHANET,18945
isa,ORPHANET,18945
inverse_belongs_to_cohort,KF,18704
belongs_to_cohort,KF,18704
has_interpretation,SNOMEDCT_US,18394
interpretation_of,SNOMEDCT_US,18394
has_challenge,LNC,18228
challenge_of,LNC,18228
in_similarity_relationship_with,LINCS,18138
inverse_in_similarity_relationship_with,LINCS,18138
has_causative_agent,SNOMEDCT_US,18025
causative_agent_of,SNOMEDCT_US,18025
form_of,RXNORM,17911
has_form,RXNORM,17911
has_occurrence,SNOMEDCT_US,17767
occurs_in,SNOMEDCT_US,17767
active_ingredient_of,SNOMEDCT_US,17578
has_active_ingredient,SNOMEDCT_US,17578
ro,PSY,17494
inverse_isa,DOID,17425
isa,DOID,17425
ro,GO,16720
chd,NIC,16696
par,NIC,16696
DEV,,16077
rb,GO,16075
rn,GO,16075
isa,GENCODE,15790
inverse_isa,GENCODE,15790
entire_anatomy_structure_of,SNOMEDCT_US,15715
has_entire_anatomy_structure,SNOMEDCT_US,15715
NS,,15695
par,NOC,15686
chd,NOC,15686
part_of,ORDO,15543
has_part,ORDO,15543
manufactured_dose_form_of,SNOMEDCT_US,15527
has_manufactured_dose_form,SNOMEDCT_US,15527
has_gdc_value,NCI,15458
is_value_for_gdc_property,NCI,15458
inverse_isa,MMSL,15396
isa,MMSL,15396
MS,,15366
has_gene_product_element,NCI,15188
gene_product_is_element_in_pathway,NCI,15188
may_treat,MED-RT,15186
may_be_treated_by,MED-RT,15186
inverse_isa,MSH,15147
isa,MSH,15147
pathway_has_gene_element,NCI,15088
gene_is_element_in_pathway,NCI,15088
ID,,15060
AC,,14966
disease_may_have_molecular_abnormality,NCI,14945
may_be_molecular_abnormality_of_disease,NCI,14945
TMSY,,14944
isa,CPT,14895
inverse_isa,CPT,14895
CMN,,14783
PT_UBERON_BASE,,14671
SCDC,,14458
located_in,HRA,14266
location_of,HRA,14266
chemotherapy_regimen_has_component,NCI,13810
is_component_of_chemotherapy_regimen,NCI,13810
primary_mapped_from,ICD10AM,13766
primary_mapped_to,ICD10AM,13766
isa,UMD,13661
inverse_isa,UMD,13661
inverse_gene_has_variants,KF,13375
gene_has_variants,KF,13375
method_of,CPT,13223
has_method,CPT,13223
has_specimen,MEDCIN,13200
specimen_of,MEDCIN,13200
rb,UMD,13194
rn,UMD,13194
SYGB,,12966
replaced_by,SNOMEDCT_US,12648
replaces,SNOMEDCT_US,12648
organism_has_gene,NCI,12582
gene_found_in_organism,NCI,12582
evaluation_of,LNC,12517
has_evaluation,LNC,12517
may_be_cytogenetic_abnormality_of_disease,NCI,12462
disease_may_have_cytogenetic_abnormality,NCI,12462
PT_MPMGI,,12307
precise_ingredient_of,RXNORM,12136
has_precise_ingredient,RXNORM,12136
has_ingredients,RXNORM,11858
ingredients_of,RXNORM,11858
physiologic_effect_of,MED-RT,11672
has_physiologic_effect,MED-RT,11672
has_part,MP,11663
part_of,MP,11663
chd,ICD10,11640
par,ICD10,11640
SBD,,11496
EQ,,11429
has_contraindicated_drug,MED-RT,11415
contraindicated_with_disease,MED-RT,11415
NA_UBKG,,11393
chd,CSP,11390
par,CSP,11390
rn,CSP,11379
rb,CSP,11379
same_as,SNOMEDCT_US,11274
involved_in_pathway,WP,11229
inverse_involved_in_pathway,WP,11229
interprets,MEDCIN,11067
is_interpreted_by,MEDCIN,11067
has_component,PDQ,10800
component_of,PDQ,10800
ETCF,,10756
MTH_CN,,10702
part_of,RXNORM,10502
has_part,RXNORM,10502
quality_of,MP,10478
has_quality,MP,10478
has_part,UBERON_BASE,10462
part_of,UBERON_BASE,10462
has_physical_part_of_anatomic_structure,NCI,10249
anatomic_structure_is_physical_part_of,NCI,10249
has_focus,MEDCIN,10040
focus_of,MEDCIN,10040
par,HCPCS,10022
chd,HCPCS,10022
PHENO,,9802
has_consumer_friendly_form,CPT,9795
consumer_friendly_form_of,CPT,9795
PT_MW,,9654
precise_active_ingredient_of,SNOMEDCT_US,9590
has_precise_active_ingredient,SNOMEDCT_US,9590
basis_of_strength_substance_of,SNOMEDCT_US,9575
has_basis_of_strength_substance,SNOMEDCT_US,9575
procedure_site_of,CPT,9519
has_procedure_site,CPT,9519
disposition_of,SNOMEDCT_US,9442
has_disposition,SNOMEDCT_US,9442
was_a,SNOMEDCT_US,9164
inverse_was_a,SNOMEDCT_US,9164
par,HL7V3.0,9064
chd,HL7V3.0,9064
disease_excludes_normal_cell_origin,NCI,8911
is_not_normal_cell_origin_of_disease,NCI,8911
SCDG,,8901
component_of,MEDCIN,8797
has_component,MEDCIN,8797
inverse_has_modifier,MP,8788
has_modifier,MP,8788
has_boss,RXNORM,8667
boss_of,RXNORM,8667
is_deprotonated_form_of,CHEBI,8647
is_protonated_form_of,CHEBI,8647
has_procedure_site,MEDCIN,8626
procedure_site_of,MEDCIN,8626
SBDC,,8582
part_of,GO,8582
has_part,GO,8582
location_of,MOTRPAC,8571
inverse_sex,MOTRPAC,8571
located_in,MOTRPAC,8571
sex,MOTRPAC,8571
inverse_associated_with,MOTRPAC,8570
associated_with,MOTRPAC,8570
has_indirect_procedure_site,SNOMEDCT_US,8514
indirect_procedure_site_of,SNOMEDCT_US,8514
has_component,SNOMEDCT_US,8412
component_of,SNOMEDCT_US,8412
has_isoform,PROTEOFORM,8404
inverse_has_isoform,PROTEOFORM,8404
is_structural_domain_or_motif_of_gene_product,NCI,8353
gene_product_has_structural_domain_or_motif,NCI,8353
RT,,8338
PT_MP,,8309
SBDG,,8286
has_characteristic,MP,8284
characteristic_of,MP,8284
has_direct_morphology,SNOMEDCT_US,8250
direct_morphology_of,SNOMEDCT_US,8250
SCDF,,7931
gene_mapped_to_disease,NCI,7918
disease_mapped_to_gene,NCI,7918
has_part,EFO,7812
part_of,EFO,7812
mechanism_of_action_of,MED-RT,7697
has_mechanism_of_action,MED-RT,7697
inheritance_type_of,OMIM,7658
has_inheritance_type,OMIM,7658
causally_influenced_by,MW,7502
causally_influences,MW,7502
is_associated_anatomy_of_gene_product,NCI,7478
gene_product_has_associated_anatomy,NCI,7478
LG,,7434
is_imaged_location_for,LNC,7411
has_imaged_location,LNC,7411
PTN,,7410
CSN,,7353
has_parent_group,LNC,7331
parent_group_of,LNC,7331
inverse_has_signature_gene,MSIGDB,7321
has_signature_gene,MSIGDB,7321
inverse_indication,IDGD,7286
indication,IDGD,7286
used_for,CSP,7265
use,CSP,7265
add_on_code_for,CPT,7254
has_add_on_code,CPT,7254
is_stage_of_disease,NCI,7171
disease_is_stage,NCI,7171
part_of,EMAPA,7040
has_part,EMAPA,7040
has_branch,FMA,7027
branch_of,FMA,7027
is_modality_type_for,LNC,6991
has_modality_type,LNC,6991
device_used_by,SNOMEDCT_US,6834
uses_device,SNOMEDCT_US,6834
par,PSY,6613
chd,PSY,6613
quantified_form_of,RXNORM,6611
has_quantified_form,RXNORM,6611
ro,CSP,6534
has_target,NCI,6475
is_target,NCI,6475
has_indirect_procedure_site,MEDCIN,6470
indirect_procedure_site_of,MEDCIN,6470
is_imaging_focus_of,LNC,6408
has_imaging_focus,LNC,6408
clinical_course_of,SNOMEDCT_US,6380
has_clinical_course,SNOMEDCT_US,6380
SBDF,,6163
has_method,MEDCIN,6057
method_of,MEDCIN,6057
is_not_primary_anatomic_site_of_disease,NCI,6033
disease_excludes_primary_anatomic_site,NCI,6033
starts_at,EMAPA,6027
inverse_starts_at,EMAPA,6027
has_divisor,LNC,6006
divisor_of,LNC,6006
is_biochemical_function_of_gene_product,NCI,5954
gene_product_has_biochemical_function,NCI,5954
characterized_by,HRA,5755
inverse_characterized_by,HRA,5755
other_mapped_to,ICD10AM,5706
other_mapped_from,ICD10AM,5706
isa,OBI,5685
inverse_isa,OBI,5685
isa,NPOSKCAN,5628
inverse_isa,NPOSKCAN,5628
focus_of,SNOMEDCT_US,5587
has_focus,SNOMEDCT_US,5587
has_member,ATC,5575
member_of,ATC,5575
rn,PSY,5563
rb,PSY,5563
genetic_biomarker_related_to,NCI,5543
related_to_genetic_biomarker,NCI,5543
tradename_of,NCI,5534
has_tradename,NCI,5534
presentation_strength_numerator_unit_of,SNOMEDCT_US,5473
has_presentation_strength_numerator_unit,SNOMEDCT_US,5473
partially_equivalent_to,SNOMEDCT_US,5460
has_therapeutic_class,MED-RT,5426
therapeutic_class_of,MED-RT,5426
has_subject_relationship_context,SNOMEDCT_US,5419
subject_relationship_context_of,SNOMEDCT_US,5419
has_temporal_context,SNOMEDCT_US,5418
temporal_context_of,SNOMEDCT_US,5418
unit_of_presentation_of,SNOMEDCT_US,5345
has_unit_of_presentation,SNOMEDCT_US,5345
presentation_strength_denominator_unit_of,SNOMEDCT_US,5344
has_presentation_strength_denominator_unit,SNOMEDCT_US,5344
part_of,HRA,5335
has_part,HRA,5335
branch_of,UWDA,5322
has_branch,UWDA,5322
active_ingredient_of,MEDCIN,5274
has_active_ingredient,MEDCIN,5274
isa,CL,5169
inverse_isa,CL,5169
disease_causing_germline_mutation_s__in,ORDO,5115
inverse_disease_causing_germline_mutation_s__in,ORDO,5115
SBDFP,,5098
correlated_with_condition,MW,5003
inverse_correlated_with_condition,MW,5003
par,HL7V2.5,4963
chd,HL7V2.5,4963
direct_device_of,SNOMEDCT_US,4846
has_direct_device,SNOMEDCT_US,4846
gene_involved_in_molecular_abnormality,NCI,4763
molecular_abnormality_involves_gene,NCI,4763
SCDGP,,4753
has_causative_agent,MEDCIN,4739
causative_agent_of,MEDCIN,4739
related_to,MEDLINEPLUS,4714
par,ALT,4656
chd,ALT,4656
is_chromosomal_location_of_gene,NCI,4655
gene_in_chromosomal_location,NCI,4655
FSY,,4629
mapped_from,LNC,4612
mapped_to,LNC,4612
isa,EMAPA,4607
inverse_isa,EMAPA,4607
ends_at,EMAPA,4595
inverse_ends_at,EMAPA,4595
PT_LINCS,,4523
member_of,FMA,4492
has_member,FMA,4492
SCDFP,,4465
isa,UBERONEMAPA,4352
inverse_isa,UBERONEMAPA,4352
in_taxon,UBERONEMAPA,4345
part_of,UBERONEMAPA,4345
inverse_in_taxon,UBERONEMAPA,4345
has_part,UBERONEMAPA,4345
inverse_isa,PDQ,4282
isa,PDQ,4282
is_lateral_anatomic_location_of,LNC,4217
has_lateral_anatomic_location,LNC,4217
is_presence_of_lateral_location,LNC,4195
has_lateral_location_presence,LNC,4195
GN,,4189
direct_substance_of,SNOMEDCT_US,4166
has_direct_substance,SNOMEDCT_US,4166
directedinteraction,WP,4141
inverse_directedinteraction,WP,4141
chd,MED-RT,4110
par,MED-RT,4110
PT_HRA,,4108
part_of,CHEBI,4101
has_part,CHEBI,4101
MTH_PT,,4059
substance_used_by,MEDCIN,4050
uses_substance,MEDCIN,4050
ctcae_5_parent_of,NCI,4048
has_ctcae_5_parent,NCI,4048
has_aggregation_view,LNC,3930
is_aggregation_view_of,LNC,3930
PT_NPOSKCAN,,3901
inverse_in_taxon,MP,3877
in_taxon,MP,3877
inverse_isa,CPM,3838
isa,CPM,3838
MIN,,3820
uses_substance,SNOMEDCT_US,3766
substance_used_by,SNOMEDCT_US,3766
involved_in,REACTOME,3661
inverse_involved_in,REACTOME,3661
has_member,PSY,3605
member_of,PSY,3605
PIN,,3592
has_conceptual_part,NCI,3585
conceptual_part_of,NCI,3585
related_part,FMA,3572
occurs_before,SNOMEDCT_US,3533
occurs_after,SNOMEDCT_US,3533
has_measurement_method,MEDCIN,3529
measurement_method_of,MEDCIN,3529
isa,EDAM,3496
inverse_isa,EDAM,3496
is_mechanism_of_action_of_chemical_or_drug,NCI,3438
chemical_or_drug_has_mechanism_of_action,NCI,3438
has_structural_class,MED-RT,3437
structural_class_of,MED-RT,3437
intent_of,SNOMEDCT_US,3294
has_intent,SNOMEDCT_US,3294
contains,RXNORM,3244
contained_in,RXNORM,3244
characteristic_of_part_of,MP,3232
inverse_characteristic_of_part_of,MP,3232
regulates,GO,3189
regulated_by,GO,3189
associated_with,SNOMEDCT_US,3174
contained_in,MMSL,3154
contains,MMSL,3154
eo_anatomy_is_associated_with_eo_disease,NCI,3124
eo_disease_has_associated_eo_anatomy,NCI,3124
has_interpretation,MEDCIN,3102
interpretation_of,MEDCIN,3102
above_1mbp_band,HSCLO,3102
inverse_above_1mbp_band,HSCLO,3102
has_procedure_site,SNOMEDCT_US,3093
procedure_site_of,SNOMEDCT_US,3093
precedes_1mbp_band,HSCLO,3078
inverse_precedes_1mbp_band,HSCLO,3078
specimen_of,SNOMEDCT_US,3065
has_specimen,SNOMEDCT_US,3065
has_direct_substance,MEDCIN,3056
direct_substance_of,MEDCIN,3056
chemical_or_drug_has_physiologic_effect,NCI,3044
is_physiologic_effect_of_chemical_or_drug,NCI,3044
consider,GO,2974
consider_from,GO,2974
has_life_circumstance,SNOMEDCT_VET,2945
life_circumstance_of,SNOMEDCT_VET,2945
mapped_to,LCH_NW,2936
mapped_from,LCH_NW,2936
is_molecular_abnormality_of_disease,NCI,2935
disease_has_molecular_abnormality,NCI,2935
FBD,,2899
is_timing_for,LNC,2876
has_timing_of,LNC,2876
positively_regulates,GO,2856
positively_regulated_by,GO,2856
USN,,2832
negatively_regulates,GO,2830
negatively_regulated_by,GO,2830
inverse_is_enantiomer_of,CHEBI,2820
is_enantiomer_of,CHEBI,2820
tradename_of,PDQ,2788
has_tradename,PDQ,2788
device_used_by,MEDCIN,2781
uses_device,MEDCIN,2781
associated_finding_of,SNOMEDCT_US,2778
has_associated_finding,SNOMEDCT_US,2778
concentration_strength_numerator_unit_of,SNOMEDCT_US,2776
has_concentration_strength_numerator_unit,SNOMEDCT_US,2776
has_finding_context,SNOMEDCT_US,2733
finding_context_of,SNOMEDCT_US,2733
finding_site_of,SNOMEDCT_VET,2729
has_associated_procedure,SNOMEDCT_US,2729
has_finding_site,SNOMEDCT_VET,2729
associated_procedure_of,SNOMEDCT_US,2729
concentration_strength_denominator_unit_of,SNOMEDCT_US,2694
has_concentration_strength_denominator_unit,SNOMEDCT_US,2694
